epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.90625,,,
0,99,,,,0.90625,,,
0,149,,,,0.9140625,,,
0,187,,,,,,0.8996666669845581,0.34104645252227783
0,187,,,0.8818749785423279,,0.4314233660697937,,
1,199,,,,0.9453125,,,
1,249,,,,0.90625,,,
1,299,,,,0.91796875,,,
1,349,,,,0.91015625,,,
1,375,,,,,,0.9120833277702332,0.30865857005119324
1,375,,,0.9136041402816772,,0.30238640308380127,,
2,399,,,,0.9375,,,
2,449,,,,0.91015625,,,
2,499,,,,0.91015625,,,
2,549,,,,0.91015625,,,
2,563,,,,,,0.9037500023841858,0.331242173910141
2,563,,,0.9188125133514404,,0.2886959910392761,,
3,599,,,,0.921875,,,
3,649,,,,0.9375,,,
3,699,,,,0.9296875,,,
3,749,,,,0.921875,,,
3,751,,,,,,0.8932499885559082,0.3751494288444519
3,751,,,0.9214375019073486,,0.2824877202510834,,
4,799,,,,0.94921875,,,
4,849,,,,0.9296875,,,
4,899,,,,0.90234375,,,
4,939,,,,,,0.9124166369438171,0.32774150371551514
4,939,,,0.9214791655540466,,0.2765994966030121,,
5,949,,,,0.91015625,,,
5,999,,,,0.94140625,,,
5,1049,,,,0.921875,,,
5,1099,,,,0.92578125,,,
5,1127,,,,,,0.9154166579246521,0.3095204532146454
5,1127,,,0.9240416884422302,,0.2725793719291687,,
6,1149,,,,0.953125,,,
6,1199,,,,0.96875,,,
6,1249,,,,0.9453125,,,
6,1299,,,,0.92578125,,,
6,1315,,,,,,0.9166666865348816,0.3070905804634094
6,1315,,,0.9240000247955322,,0.27076417207717896,,
7,1349,,,,0.92578125,,,
7,1399,,,,0.94140625,,,
7,1449,,,,0.92578125,,,
7,1499,,,,0.8671875,,,
7,1503,,,,,,0.9205833077430725,0.3072264492511749
7,1503,,,0.9268541932106018,,0.2639784514904022,,
8,1549,,,,0.91015625,,,
8,1599,,,,0.9375,,,
8,1649,,,,0.91015625,,,
8,1691,,,,,,0.9097499847412109,0.3434649109840393
8,1691,,,0.9253125190734863,,0.2656899690628052,,
9,1699,,,,0.9453125,,,
9,1749,,,,0.93359375,,,
9,1799,,,,0.91796875,,,
9,1849,,,,0.94140625,,,
9,1879,,,,,,0.9178333282470703,0.30989283323287964
9,1879,,,0.9264583587646484,,0.2612449824810028,,
10,1899,,,,0.91796875,,,
10,1949,,,,0.921875,,,
10,1999,,,,0.92578125,,,
10,2049,,,,0.92578125,,,
10,2067,,,,,,0.9163333177566528,0.31093859672546387
10,2067,,,0.9258750081062317,,0.2621002495288849,,
11,2099,,,,0.93359375,,,
11,2149,,,,0.94140625,,,
11,2199,,,,0.90625,,,
11,2249,,,,0.93359375,,,
11,2255,,,,,,0.8980000019073486,0.36849939823150635
11,2255,,,0.9272916913032532,,0.2593831717967987,,
12,2299,,,,0.94921875,,,
12,2349,,,,0.9453125,,,
12,2399,,,,0.93359375,,,
12,2443,,,,,,0.9178333282470703,0.3154182434082031
12,2443,,,0.9281666874885559,,0.2574373483657837,,
13,2449,,,,0.92578125,,,
13,2499,,,,0.95703125,,,
13,2549,,,,0.9609375,,,
13,2599,,,,0.92578125,,,
13,2631,,,,,,0.9122499823570251,0.3262369632720947
13,2631,,,0.9271666407585144,,0.2574078440666199,,
14,2649,,,,0.92578125,,,
14,2699,,,,0.92578125,,,
14,2749,,,,0.92578125,,,
14,2799,,,,0.92578125,,,
14,2819,,,,,,0.9165833592414856,0.31631433963775635
14,2819,,,0.9272500276565552,,0.25416696071624756,,
15,2849,,,,0.92578125,,,
15,2899,,,,0.890625,,,
15,2949,,,,0.94140625,,,
15,2999,,,,0.89453125,,,
15,3007,,,,,,0.906083345413208,0.3553459346294403
15,3007,,,0.9284374713897705,,0.2536802887916565,,
16,3049,,,,0.90234375,,,
16,3099,,,,0.921875,,,
16,3149,,,,0.91796875,,,
16,3195,,,,,,0.9106666445732117,0.33649489283561707
16,3195,,,0.929562509059906,,0.25190994143486023,,
17,3199,,,,0.89453125,,,
17,3249,,,,0.921875,,,
17,3299,,,,0.9296875,,,
17,3349,,,,0.9453125,,,
17,3383,,,,,,0.9144166707992554,0.3253846764564514
17,3383,,,0.9281874895095825,,0.253290057182312,,
18,3399,,,,0.94140625,,,
18,3449,,,,0.9296875,,,
18,3499,,,,0.90234375,,,
18,3549,,,,0.9375,,,
18,3571,,,,,,0.9058333039283752,0.3642089068889618
18,3571,,,0.9286666512489319,,0.2541075348854065,,
19,3599,,,,0.94140625,,,
19,3649,,,,0.90234375,,,
19,3699,,,,0.92578125,,,
19,3749,,,,0.90625,,,
19,3759,,,,,,0.9053333401679993,0.3507959842681885
19,3759,,,0.9291666746139526,,0.2497171014547348,,
20,3799,,,,0.91796875,,,
20,3849,,,,0.93359375,,,
20,3899,,,,0.953125,,,
20,3947,,,,,,0.906166672706604,0.36242011189460754
20,3947,,,0.9297500252723694,,0.2506121098995209,,
21,3949,,,,0.94140625,,,
21,3999,,,,0.92578125,,,
21,4049,,,,0.9296875,,,
21,4099,,,,0.89453125,,,
21,4135,,,,,,0.9169999957084656,0.324896901845932
21,4135,,,0.9289583563804626,,0.24904806911945343,,
22,4149,,,,0.91015625,,,
22,4199,,,,0.93359375,,,
22,4249,,,,0.94921875,,,
22,4299,,,,0.9453125,,,
22,4323,,,,,,0.9100833535194397,0.33237046003341675
22,4323,,,0.9307291507720947,,0.2468084692955017,,
23,4349,,,,0.95703125,,,
23,4399,,,,0.92578125,,,
23,4449,,,,0.9375,,,
23,4499,,,,0.9296875,,,
23,4511,,,,,,0.9175000190734863,0.31685706973075867
23,4511,,,0.9303958415985107,,0.24856717884540558,,
24,4549,,,,0.90625,,,
24,4599,,,,0.953125,,,
24,4649,,,,0.921875,,,
24,4699,,,,0.8984375,,,
24,4699,,,,,,0.9069166779518127,0.34913891553878784
24,4699,,,0.9291458129882812,,0.248138427734375,,
25,4749,,,,0.93359375,,,
25,4799,,,,0.92578125,,,
25,4849,,,,0.9140625,,,
25,4887,,,,,,0.9120833277702332,0.3396325409412384
25,4887,,,0.9303333163261414,,0.24478930234909058,,
26,4899,,,,0.9453125,,,
26,4949,,,,0.9140625,,,
26,4999,,,,0.92578125,,,
26,5049,,,,0.9375,,,
26,5075,,,,,,0.9085000157356262,0.3547781705856323
26,5075,,,0.9309583306312561,,0.24607214331626892,,
27,5099,,,,0.921875,,,
27,5149,,,,0.9140625,,,
27,5199,,,,0.94921875,,,
27,5249,,,,0.9296875,,,
27,5263,,,,,,0.9156666398048401,0.32487785816192627
27,5263,,,0.9295416474342346,,0.245402991771698,,
28,5299,,,,0.9453125,,,
28,5349,,,,0.91015625,,,
28,5399,,,,0.93359375,,,
28,5449,,,,0.9375,,,
28,5451,,,,,,0.9099166393280029,0.34047314524650574
28,5451,,,0.9313125014305115,,0.24515178799629211,,
29,5499,,,,0.93359375,,,
29,5549,,,,0.9296875,,,
29,5599,,,,0.953125,,,
29,5639,,,,,,0.9010000228881836,0.3628157079219818
29,5639,,,0.9311875104904175,,0.24306751787662506,,
30,5640,0.90829998254776,0.35908135771751404,,,,,
