epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.7578125,,,
0,99,,,,0.82421875,,,
0,149,,,,0.83984375,,,
0,187,,,,,,0.9035000205039978,0.3130223751068115
0,187,,,0.7580000162124634,,1.6361557245254517,,
1,199,,,,0.88671875,,,
1,249,,,,0.8671875,,,
1,299,,,,0.8828125,,,
1,349,,,,0.88671875,,,
1,375,,,,,,0.9269166588783264,0.2623668909072876
1,375,,,0.8768749833106995,,0.43184080719947815,,
2,399,,,,0.890625,,,
2,449,,,,0.90234375,,,
2,499,,,,0.89453125,,,
2,549,,,,0.90625,,,
2,563,,,,,,0.9273333549499512,0.2572374939918518
2,563,,,0.8975833058357239,,0.3618677258491516,,
3,599,,,,0.91796875,,,
3,649,,,,0.89453125,,,
3,699,,,,0.91796875,,,
3,749,,,,0.921875,,,
3,751,,,,,,0.9368333220481873,0.23487798869609833
3,751,,,0.906208336353302,,0.33524250984191895,,
4,799,,,,0.9140625,,,
4,849,,,,0.91015625,,,
4,899,,,,0.9140625,,,
4,939,,,,,,0.9491666555404663,0.18833845853805542
4,939,,,0.9135416746139526,,0.3067200779914856,,
5,949,,,,0.9375,,,
5,999,,,,0.90625,,,
5,1049,,,,0.90234375,,,
5,1099,,,,0.90625,,,
5,1127,,,,,,0.9401666522026062,0.2206464260816574
5,1127,,,0.9165416955947876,,0.30179715156555176,,
6,1149,,,,0.91796875,,,
6,1199,,,,0.9296875,,,
6,1249,,,,0.9140625,,,
6,1299,,,,0.90625,,,
6,1315,,,,,,0.9375,0.2151486873626709
6,1315,,,0.9216041564941406,,0.2818327844142914,,
7,1349,,,,0.91015625,,,
7,1399,,,,0.921875,,,
7,1449,,,,0.91796875,,,
7,1499,,,,0.9375,,,
7,1503,,,,,,0.9511666893959045,0.17160628736019135
7,1503,,,0.9245416522026062,,0.27515608072280884,,
8,1549,,,,0.92578125,,,
8,1599,,,,0.94140625,,,
8,1649,,,,0.9375,,,
8,1691,,,,,,0.953416645526886,0.17500823736190796
8,1691,,,0.926395833492279,,0.2714654207229614,,
9,1699,,,,0.921875,,,
9,1749,,,,0.875,,,
9,1799,,,,0.95703125,,,
9,1849,,,,0.95703125,,,
9,1879,,,,,,0.952750027179718,0.17156976461410522
9,1879,,,0.9276250004768372,,0.2689221501350403,,
10,1899,,,,0.94140625,,,
10,1949,,,,0.921875,,,
10,1999,,,,0.921875,,,
10,2049,,,,0.93359375,,,
10,2067,,,,,,0.9540833234786987,0.17629744112491608
10,2067,,,0.9292500019073486,,0.26182428002357483,,
11,2099,,,,0.95703125,,,
11,2149,,,,0.94921875,,,
11,2199,,,,0.921875,,,
11,2249,,,,0.94140625,,,
11,2255,,,,,,0.9555000066757202,0.17132462561130524
11,2255,,,0.9316458106040955,,0.25027376413345337,,
12,2299,,,,0.93359375,,,
12,2349,,,,0.953125,,,
12,2399,,,,0.94140625,,,
12,2443,,,,,,0.9565833210945129,0.16154968738555908
12,2443,,,0.9321874976158142,,0.24721460044384003,,
13,2449,,,,0.93359375,,,
13,2499,,,,0.9375,,,
13,2549,,,,0.921875,,,
13,2599,,,,0.9296875,,,
13,2631,,,,,,0.9539999961853027,0.17087098956108093
13,2631,,,0.9340000152587891,,0.24918310344219208,,
14,2649,,,,0.9609375,,,
14,2699,,,,0.9375,,,
14,2749,,,,0.94140625,,,
14,2799,,,,0.92578125,,,
14,2819,,,,,,0.953000009059906,0.16673532128334045
14,2819,,,0.9357291460037231,,0.23680347204208374,,
15,2849,,,,0.9296875,,,
15,2899,,,,0.92578125,,,
15,2949,,,,0.9375,,,
15,2999,,,,0.92578125,,,
15,3007,,,,,,0.924916684627533,0.24715663492679596
15,3007,,,0.9347500205039978,,0.2412291020154953,,
16,3049,,,,0.9375,,,
16,3099,,,,0.953125,,,
16,3149,,,,0.93359375,,,
16,3195,,,,,,0.9574166536331177,0.1659773290157318
16,3195,,,0.9362708330154419,,0.23515664041042328,,
17,3199,,,,0.94921875,,,
17,3249,,,,0.9296875,,,
17,3299,,,,0.921875,,,
17,3349,,,,0.953125,,,
17,3383,,,,,,0.9545000195503235,0.16551680862903595
17,3383,,,0.9366875290870667,,0.23176339268684387,,
18,3399,,,,0.94921875,,,
18,3449,,,,0.93359375,,,
18,3499,,,,0.9453125,,,
18,3549,,,,0.9296875,,,
18,3571,,,,,,0.9564999938011169,0.1622398942708969
18,3571,,,0.9388958215713501,,0.23106513917446136,,
19,3599,,,,0.96875,,,
19,3649,,,,0.9375,,,
19,3699,,,,0.9296875,,,
19,3749,,,,0.90625,,,
19,3759,,,,,,0.9606666564941406,0.15794746577739716
19,3759,,,0.9389374852180481,,0.22796306014060974,,
20,3799,,,,0.9609375,,,
20,3849,,,,0.9453125,,,
20,3899,,,,0.94921875,,,
20,3947,,,,,,0.9586666822433472,0.15769346058368683
20,3947,,,0.9389583468437195,,0.22517727315425873,,
21,3949,,,,0.94921875,,,
21,3999,,,,0.9375,,,
21,4049,,,,0.9296875,,,
21,4099,,,,0.95703125,,,
21,4135,,,,,,0.9614166617393494,0.15783442556858063
21,4135,,,0.9415208101272583,,0.21836037933826447,,
22,4149,,,,0.9453125,,,
22,4199,,,,0.94140625,,,
22,4249,,,,0.94140625,,,
22,4299,,,,0.94140625,,,
22,4323,,,,,,0.95291668176651,0.1691238135099411
22,4323,,,0.9401875138282776,,0.22727544605731964,,
23,4349,,,,0.94921875,,,
23,4399,,,,0.93359375,,,
23,4449,,,,0.90625,,,
23,4499,,,,0.94140625,,,
23,4511,,,,,,0.9566666483879089,0.17615382373332977
23,4511,,,0.9401666522026062,,0.22312338650226593,,
24,4549,,,,0.953125,,,
24,4599,,,,0.94140625,,,
24,4649,,,,0.92578125,,,
24,4699,,,,0.9375,,,
24,4699,,,,,,0.9585000276565552,0.15526342391967773
24,4699,,,0.940541684627533,,0.2261330634355545,,
25,4749,,,,0.921875,,,
25,4799,,,,0.94921875,,,
25,4849,,,,0.92578125,,,
25,4887,,,,,,0.9585000276565552,0.15667645633220673
25,4887,,,0.9412083625793457,,0.2207125425338745,,
26,4899,,,,0.9609375,,,
26,4949,,,,0.9453125,,,
26,4999,,,,0.9453125,,,
26,5049,,,,0.94921875,,,
26,5075,,,,,,0.9568333625793457,0.1630028635263443
26,5075,,,0.942104160785675,,0.21855299174785614,,
27,5099,,,,0.9453125,,,
27,5149,,,,0.92578125,,,
27,5199,,,,0.94921875,,,
27,5249,,,,0.9453125,,,
27,5263,,,,,,0.9606666564941406,0.15884414315223694
27,5263,,,0.9430624842643738,,0.21506594121456146,,
28,5299,,,,0.9375,,,
28,5349,,,,0.9609375,,,
28,5399,,,,0.921875,,,
28,5449,,,,0.94140625,,,
28,5451,,,,,,0.9514166712760925,0.18140217661857605
28,5451,,,0.9424375295639038,,0.21629777550697327,,
29,5499,,,,0.92578125,,,
29,5549,,,,0.94921875,,,
29,5599,,,,0.91796875,,,
